episode,mean
1000,3411.83,11876
2000,6221.76,22104
3000,8615.5,28700
4000,9905.04,32324
5000,11185.7,35632
6000,12474.8,35636
7000,13402.5,36380
8000,14786.7,40124
9000,15619.5,41912
10000,16499.1,45112
11000,17834.7,48816
12000,18018.6,52860
13000,18873.1,55908
14000,19446.4,61584
15000,20158.8,72808
16000,20228,64800
17000,21098.4,60148
18000,21575.8,67028
19000,21365.3,61692
20000,23005.3,74172
21000,22923.1,61960
22000,24236.8,79800
23000,23962,78748
24000,25984.6,78508
25000,24990.1,72932
26000,25927.5,72784
27000,25602.4,80324
28000,26325.7,79252
29000,26880,76472
30000,26834.1,75420
31000,27859.7,78820
32000,27731.8,79644
33000,28969.9,81468
34000,29209,79784
35000,29506.2,107680
36000,29682.1,79516
37000,29868.1,106928
38000,30471.3,90084
39000,30624,98828
40000,30524.8,79208
41000,31181.1,81912
42000,30688.9,90356
43000,31239.3,90192
44000,31888.2,79984
45000,31355.8,102856
46000,32688.2,102536
47000,32732.9,120204
48000,32665.2,126980
49000,33127.7,131948
50000,33067.5,129920
51000,33408.6,109168
52000,34230.2,108048
53000,33894.7,111736
54000,34452.5,109868
55000,33712.3,111928
56000,34863.3,107940
57000,33782.6,111424
58000,35068.7,111456
59000,34968,111248
60000,35930.2,122924
61000,35210.7,103776
62000,36198.8,123808
63000,35771.5,112356
64000,35795.6,111420
65000,36535.9,118464
66000,36636.2,122384
67000,36676.7,123028
68000,37498.2,124092
69000,37871.5,115492
70000,37136.2,130724
71000,36429.6,127812
72000,37726.7,118276
73000,37319.4,114208
74000,37773.5,122920
75000,38008.9,115192
76000,38248.7,130100
77000,37954.9,118044
78000,38183.3,119980
79000,37458.1,123092
80000,38517,129624
81000,38483.2,155124
82000,39149.8,122352
83000,39170.7,123044
84000,38290,117916
85000,38651,129652
86000,39126.3,122824
87000,38147.9,131848
88000,37983.5,131412
89000,39416.1,123548
90000,38457,131196
91000,39637.2,165444
92000,40322.4,131724
93000,40575,140972
94000,38943.4,134044
95000,40439.1,119072
96000,40302.9,127684
97000,40389.9,131204
98000,40970.9,122704
99000,41008.2,134444
100000,40995.5,152256
